Date,id,T,U,Po,P,Ff,DD,Td,lat,lon,h,name,U10M,V10M
2009-02-13 12:00:00,71974,-33.6,71.0,1022.8492105263156,1027.3821710526317,7.0,180.0,-37.0,74.11666666666666,-119.96666666666668,32.0,Аулвик (национальный парк),-8.572527594031472e-16,7.0
2009-02-16 12:00:00,71974,-29.3,77.0,1009.9169407894738,1014.4499013157896,1.0,0.0,-32.1,74.11666666666666,-119.96666666666668,32.0,Аулвик (национальный парк),-0.0,-1.0
2010-01-19 00:00:00,71974,-32.3,73.0,1001.3843092105262,1005.9172697368422,8.0,180.0,-35.5,74.11666666666666,-119.96666666666668,32.0,Аулвик (национальный парк),-9.797174393178826e-16,8.0
2010-01-19 06:00:00,71974,-33.8,71.0,1002.7175328947368,1007.2504934210525,5.0,135.0,-37.2,74.11666666666666,-119.96666666666668,32.0,Аулвик (национальный парк),-3.5355339059327378,3.5355339059327373
2010-01-19 12:00:00,71974,-33.6,73.0,1005.2506578947368,1009.7836184210527,5.0,135.0,-36.8,74.11666666666666,-119.96666666666668,32.0,Аулвик (национальный парк),-3.5355339059327378,3.5355339059327373
2010-01-19 18:00:00,71974,-33.5,73.0,1007.6504605263158,1012.1834210526317,7.0,157.5,-36.7,74.11666666666666,-119.96666666666668,32.0,Аулвик (национальный парк),-2.6787840265556286,6.467156727579009
2010-01-20 00:00:00,71974,-35.4,70.0,1010.583552631579,1014.9831907894736,4.0,135.0,-38.9,74.11666666666666,-119.96666666666668,32.0,Аулвик (национальный парк),-2.8284271247461903,2.82842712474619
2010-01-20 12:00:00,71974,-32.7,73.0,1011.1168421052632,1015.649802631579,1.0,157.5,-35.9,74.11666666666666,-119.96666666666668,32.0,Аулвик (национальный парк),-0.3826834323650899,0.9238795325112868
2010-01-21 00:00:00,71974,-26.2,81.0,1009.5169736842104,1014.0499342105264,2.0,315.0,-28.5,74.11666666666666,-119.96666666666668,32.0,Аулвик (национальный парк),1.4142135623730954,-1.4142135623730947
2010-01-21 12:00:00,71974,-25.1,82.0,1011.7834539473683,1016.1830921052632,2.0,135.0,-27.3,74.11666666666666,-119.96666666666668,32.0,Аулвик (национальный парк),-1.4142135623730951,1.414213562373095
2010-01-21 18:00:00,71974,-23.5,84.0,1013.3833223684213,1017.7829605263156,2.0,180.0,-25.5,74.11666666666666,-119.96666666666668,32.0,Аулвик (национальный парк),-2.4492935982947064e-16,2.0
2010-01-22 00:00:00,71974,-23.9,84.0,1016.1830921052632,1020.4494078947367,1.0,337.5,-25.8,74.11666666666666,-119.96666666666668,32.0,Аулвик (национальный парк),0.3826834323650896,-0.9238795325112868
2010-01-22 06:00:00,71974,-26.9,82.0,1017.2496710526317,1021.7826315789473,1.0,315.0,-29.1,74.11666666666666,-119.96666666666668,32.0,Аулвик (национальный парк),0.7071067811865477,-0.7071067811865474
