Date,id,T,U,Po,P,Ff,DD,Td,lat,lon,h,name,U10M,V10M
2005-06-30 21:00:00,22361,6.2,94.0,1014.0499342105264,1016.049769736842,5.0,22.5,5.3,66.75,42.583333333333336,15,Моржовец ,-1.913417161825449,-4.619397662556434
2005-07-01 03:00:00,22361,5.3,95.0,1014.0499342105264,1016.049769736842,7.0,22.5,4.6,66.75,42.583333333333336,15,Моржовец ,-2.6787840265556286,-6.467156727579009
2005-07-01 09:00:00,22361,5.8,91.0,1014.0499342105264,1016.049769736842,8.0,22.5,4.4,66.75,42.583333333333336,15,Моржовец ,-3.0614674589207183,-7.391036260090294
2005-07-01 15:00:00,22361,5.6,95.0,1014.1832565789473,1016.1830921052632,9.0,0.0,4.9,66.75,42.583333333333336,15,Моржовец ,-0.0,-9.0
2005-07-01 21:00:00,22361,5.2,95.0,1013.7832894736842,1015.783125,9.0,22.5,4.5,66.75,42.583333333333336,15,Моржовец ,-3.444150891285808,-8.31491579260158
2005-07-02 03:00:00,22361,4.5,95.0,1014.0499342105264,1016.1830921052632,7.0,22.5,3.8,66.75,42.583333333333336,15,Моржовец ,-2.6787840265556286,-6.467156727579009
2005-07-02 09:00:00,22361,5.1,92.0,1014.0499342105264,1016.049769736842,9.0,22.5,3.9,66.75,42.583333333333336,15,Моржовец ,-3.444150891285808,-8.31491579260158
2005-07-02 15:00:00,22361,4.5,95.0,1013.7832894736842,1015.783125,8.0,0.0,3.8,66.75,42.583333333333336,15,Моржовец ,-0.0,-8.0
2005-07-02 21:00:00,22361,3.9,97.0,1014.0499342105264,1016.049769736842,9.0,22.5,3.4,66.75,42.583333333333336,15,Моржовец ,-3.444150891285808,-8.31491579260158
2005-07-03 03:00:00,22361,5.4,96.0,1014.5832236842107,1016.5830592105262,9.0,0.0,4.8,66.75,42.583333333333336,15,Моржовец ,-0.0,-9.0
2005-07-03 09:00:00,22361,5.1,92.0,1016.1830921052632,1018.049605263158,8.0,0.0,3.9,66.75,42.583333333333336,15,Моржовец ,-0.0,-8.0
2005-07-03 15:00:00,22361,5.4,91.0,1017.1163486842104,1019.1161842105264,5.0,22.5,4.0,66.75,42.583333333333336,15,Моржовец ,-1.913417161825449,-4.619397662556434
2005-07-03 21:00:00,22361,3.7,95.0,1016.8497039473683,1018.8495394736842,5.0,0.0,3.0,66.75,42.583333333333336,15,Моржовец ,-0.0,-5.0
2005-07-04 03:00:00,22361,4.0,92.0,1016.4497368421053,1018.4495723684213,5.0,0.0,2.8,66.75,42.583333333333336,15,Моржовец ,-0.0,-5.0
2005-07-04 15:00:00,22361,4.9,91.0,1016.7163815789473,1018.7162171052632,7.0,22.5,3.5,66.75,42.583333333333336,15,Моржовец ,-2.6787840265556286,-6.467156727579009
2005-07-04 21:00:00,22361,3.7,95.0,1016.4497368421053,1018.582894736842,5.0,22.5,3.0,66.75,42.583333333333336,15,Моржовец ,-1.913417161825449,-4.619397662556434
2005-07-05 03:00:00,22361,4.5,87.0,1016.4497368421053,1018.582894736842,5.0,0.0,2.5,66.75,42.583333333333336,15,Моржовец ,-0.0,-5.0
2005-07-05 09:00:00,22361,6.1,88.0,1016.4497368421053,1018.582894736842,5.0,0.0,4.2,66.75,42.583333333333336,15,Моржовец ,-0.0,-5.0
2005-07-05 15:00:00,22361,5.6,91.0,1016.4497368421053,1018.582894736842,6.0,0.0,4.2,66.75,42.583333333333336,15,Моржовец ,-0.0,-6.0
2005-07-05 21:00:00,22361,5.3,95.0,1016.049769736842,1018.049605263158,5.0,0.0,4.6,66.75,42.583333333333336,15,Моржовец ,-0.0,-5.0
2005-07-06 03:00:00,22361,5.0,92.0,1016.7163815789473,1018.7162171052632,5.0,0.0,3.8,66.75,42.583333333333336,15,Моржовец ,-0.0,-5.0
