Date,id,T,U,Po,P,Ff,DD,Td,lat,lon,h,name,U10M,V10M
2009-02-13 12:00:00,71983,-39.2,68.0,1027.5154934210527,1029.7819736842105,0.0,,-42.9,75.362,-105.727,8,Ри-Пойнт (аэропорт),,
2009-02-16 12:00:00,71983,-36.7,71.0,1016.4497368421053,1018.7162171052632,0.0,,-40.1,75.362,-105.727,8,Ри-Пойнт (аэропорт),,
2010-01-19 00:00:00,71983,-37.6,70.0,1010.3169078947368,1012.4500657894736,5.0,180.0,-41.0,75.362,-105.727,8,Ри-Пойнт (аэропорт),-6.123233995736766e-16,5.0
2010-01-19 06:00:00,71983,-35.7,72.0,1009.2503289473683,1011.3834868421053,5.0,180.0,-38.9,75.362,-105.727,8,Ри-Пойнт (аэропорт),-6.123233995736766e-16,5.0
2010-01-19 12:00:00,71983,-33.6,75.0,1010.3169078947368,1012.4500657894736,6.0,180.0,-36.5,75.362,-105.727,8,Ри-Пойнт (аэропорт),-7.34788079488412e-16,6.0
2010-01-19 18:00:00,71983,-36.3,71.0,1012.1834210526317,1014.3165789473683,4.0,157.5,-39.6,75.362,-105.727,8,Ри-Пойнт (аэропорт),-1.5307337294603596,3.695518130045147
2010-01-20 00:00:00,71983,-36.1,73.0,1014.8498684210525,1016.9830263157896,2.0,157.5,-39.2,75.362,-105.727,8,Ри-Пойнт (аэропорт),-0.7653668647301798,1.8477590650225733
2010-01-20 12:00:00,71983,-35.9,73.0,1019.5161513157893,1021.6493092105263,1.0,157.5,-39.0,75.362,-105.727,8,Ри-Пойнт (аэропорт),-0.3826834323650899,0.9238795325112868
2010-01-21 00:00:00,71983,-32.4,76.0,1020.1827631578948,1022.3159210526317,2.0,315.0,-35.2,75.362,-105.727,8,Ри-Пойнт (аэропорт),1.4142135623730954,-1.4142135623730947
2010-01-21 18:00:00,71983,-25.1,86.0,1018.7162171052632,1020.849375,2.0,0.0,-26.8,75.362,-105.727,8,Ри-Пойнт (аэропорт),-0.0,-2.0
2010-01-22 00:00:00,71983,-24.0,86.0,1019.6494736842103,1021.7826315789473,1.0,45.0,-25.7,75.362,-105.727,8,Ри-Пойнт (аэропорт),-0.7071067811865475,-0.7071067811865476
2010-01-22 06:00:00,71983,-24.1,86.0,1020.9826973684213,1023.115855263158,3.0,337.5,-25.8,75.362,-105.727,8,Ри-Пойнт (аэропорт),1.1480502970952686,-2.7716385975338604
2010-01-22 12:00:00,71983,-30.4,79.0,1023.7824671052632,1025.915625,3.0,315.0,-32.9,75.362,-105.727,8,Ри-Пойнт (аэропорт),2.121320343559643,-2.121320343559642
2010-01-22 18:00:00,71983,-31.5,78.0,1025.3823355263155,1027.5154934210527,4.0,315.0,-34.0,75.362,-105.727,8,Ри-Пойнт (аэропорт),2.8284271247461907,-2.8284271247461894
2010-01-23 00:00:00,71983,-30.9,79.0,1025.2490131578948,1027.3821710526317,3.0,337.5,-33.4,75.362,-105.727,8,Ри-Пойнт (аэропорт),1.1480502970952686,-2.7716385975338604
2010-01-24 06:00:00,71983,-29.5,80.0,1022.0492763157896,1024.1824342105265,13.0,292.5,-31.8,75.362,-105.727,8,Ри-Пойнт (аэропорт),12.010433922646726,-4.974884620746169
2010-01-24 12:00:00,71983,-29.6,80.0,1022.0492763157896,1024.1824342105265,14.0,292.5,-32.0,75.362,-105.727,8,Ри-Пойнт (аэропорт),12.934313455158012,-5.35756805311126
2010-01-24 18:00:00,71983,-27.3,81.0,1018.582894736842,1020.5827302631578,6.0,292.5,-29.5,75.362,-105.727,8,Ри-Пойнт (аэропорт),5.543277195067719,-2.29610059419054
2010-01-25 06:00:00,71983,-20.7,89.0,1015.3831578947368,1017.5163157894738,3.0,247.5,-22.0,75.362,-105.727,8,Ри-Пойнт (аэропорт),2.7716385975338604,1.1480502970952684
2010-01-25 18:00:00,71983,-16.7,93.0,1014.5832236842107,1016.5830592105262,10.0,292.5,-17.6,75.362,-105.727,8,Ри-Пойнт (аэропорт),9.238795325112868,-3.8268343236509
2010-01-26 00:00:00,71983,-20.6,90.0,1017.2496710526317,1019.2495065789475,8.0,292.5,-21.8,75.362,-105.727,8,Ри-Пойнт (аэропорт),7.391036260090293,-3.06146745892072
2010-01-26 06:00:00,71983,-23.7,85.0,1018.1829276315787,1020.3160855263158,5.0,292.5,-25.5,75.362,-105.727,8,Ри-Пойнт (аэропорт),4.619397662556434,-1.91341716182545
2010-01-26 12:00:00,71983,-22.2,89.0,1017.5163157894738,1019.6494736842103,1.0,135.0,-23.5,75.362,-105.727,8,Ри-Пойнт (аэропорт),-0.7071067811865476,0.7071067811865475
2010-01-27 00:00:00,71983,-25.7,85.0,1012.0500986842104,1014.0499342105264,4.0,157.5,-27.5,75.362,-105.727,8,Ри-Пойнт (аэропорт),-1.5307337294603596,3.695518130045147
2010-01-27 06:00:00,71983,-24.2,87.0,1007.917105263158,,3.0,180.0,-25.8,75.362,-105.727,8,Ри-Пойнт (аэропорт),-3.673940397442059e-16,3.0
2010-01-27 12:00:00,71983,-26.0,85.0,1009.5169736842104,1011.6501315789475,2.0,270.0,-27.8,75.362,-105.727,8,Ри-Пойнт (аэропорт),2.0,3.673940397442059e-16
2010-01-27 18:00:00,71983,-22.5,87.0,1014.5832236842107,1016.7163815789473,5.0,315.0,-24.1,75.362,-105.727,8,Ри-Пойнт (аэропорт),3.535533905932738,-3.535533905932737
2010-01-28 06:00:00,71983,-29.4,80.0,1025.915625,1028.0487828947369,10.0,292.5,-31.8,75.362,-105.727,8,Ри-Пойнт (аэропорт),9.238795325112868,-3.8268343236509
2010-01-28 12:00:00,71983,-32.4,75.0,1031.7818092105265,1033.9149671052633,5.0,292.5,-35.3,75.362,-105.727,8,Ри-Пойнт (аэропорт),4.619397662556434,-1.91341716182545
2010-01-28 18:00:00,71983,-34.2,71.0,1035.2481907894735,1037.3813486842103,3.0,292.5,-37.6,75.362,-105.727,8,Ри-Пойнт (аэропорт),2.7716385975338595,-1.14805029709527
2010-01-29 00:00:00,71983,-34.5,74.0,1036.7147368421054,1038.8478947368421,10.0,292.5,-37.5,75.362,-105.727,8,Ри-Пойнт (аэропорт),9.238795325112868,-3.8268343236509
2010-01-29 06:00:00,71983,-33.9,74.0,1036.9813815789473,1039.1145394736843,12.0,292.5,-36.9,75.362,-105.727,8,Ри-Пойнт (аэропорт),11.086554390135438,-4.59220118838108
2010-01-29 12:00:00,71983,-33.8,74.0,1037.5146710526317,1039.6478289473682,12.0,292.5,-36.8,75.362,-105.727,8,Ри-Пойнт (аэропорт),11.086554390135438,-4.59220118838108
2010-02-01 06:00:00,71983,-24.3,75.0,1017.3829934210527,1019.5161513157893,6.0,180.0,-27.4,75.362,-105.727,8,Ри-Пойнт (аэропорт),-7.34788079488412e-16,6.0
2010-02-01 12:00:00,71983,-23.1,76.0,1010.983519736842,1013.1166776315787,6.0,180.0,-26.1,75.362,-105.727,8,Ри-Пойнт (аэропорт),-7.34788079488412e-16,6.0
2010-02-01 18:00:00,71983,-22.3,87.0,1005.9172697368422,1007.917105263158,6.0,135.0,-23.9,75.362,-105.727,8,Ри-Пойнт (аэропорт),-4.242640687119286,4.242640687119285
2010-02-02 06:00:00,71983,-20.4,90.0,1000.1844078947368,1002.1842434210527,3.0,180.0,-21.6,75.362,-105.727,8,Ри-Пойнт (аэропорт),-3.673940397442059e-16,3.0
2010-02-02 12:00:00,71983,-22.4,86.0,1000.7176973684213,1002.7175328947368,5.0,270.0,-24.1,75.362,-105.727,8,Ри-Пойнт (аэропорт),5.0,9.18485099360515e-16
2010-02-03 06:00:00,71983,-39.7,64.0,1010.983519736842,1013.1166776315787,1.0,67.5,-43.9,75.362,-105.727,8,Ри-Пойнт (аэропорт),-0.9238795325112868,-0.3826834323650897
2010-02-03 12:00:00,71983,-39.6,63.0,1013.6499671052632,1015.783125,2.0,270.0,-44.0,75.362,-105.727,8,Ри-Пойнт (аэропорт),2.0,3.673940397442059e-16
2010-02-03 18:00:00,71983,-38.2,66.0,1014.7165460526317,1016.9830263157896,2.0,292.5,-42.2,75.362,-105.727,8,Ри-Пойнт (аэропорт),1.8477590650225733,-0.76536686473018
2010-02-04 00:00:00,71983,-39.5,65.0,1015.783125,1018.049605263158,0.0,270.0,-43.6,75.362,-105.727,8,Ри-Пойнт (аэропорт),,
2010-02-04 06:00:00,71983,-40.4,65.0,1016.9830263157896,1019.2495065789475,0.0,225.0,-44.4,75.362,-105.727,8,Ри-Пойнт (аэропорт),,
2010-02-04 12:00:00,71983,-38.3,68.0,1020.1827631578948,1022.3159210526317,0.0,,-42.0,75.362,-105.727,8,Ри-Пойнт (аэропорт),,
2010-02-04 18:00:00,71983,-38.4,67.0,1023.249177631579,1025.3823355263155,1.0,337.5,-42.2,75.362,-105.727,8,Ри-Пойнт (аэропорт),0.3826834323650896,-0.9238795325112868
2010-02-05 00:00:00,71983,-36.8,71.0,1025.915625,1028.1821052631578,1.0,315.0,-40.2,75.362,-105.727,8,Ри-Пойнт (аэропорт),0.7071067811865477,-0.7071067811865474
2010-02-05 06:00:00,71983,-37.5,72.0,1027.5154934210527,1029.7819736842105,0.0,337.5,-40.7,75.362,-105.727,8,Ри-Пойнт (аэропорт),,
